ชื่อที่พัก,ราคาต่อคืน,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด
โสภา เพลส ฉะเชิงเทรา,560,เมือง,ฉะเชิงเทรา,13.663995,101.103627
โสมาภา รีสอร์ท,450,พัฒนานิคม,ลพบุรี,14.884936,100.932737
หน้าวังรีสอร์ท ชะอำ,560,ชะอำ,เพชรบุรี,12.707299,99.951863
ห้วยสะท้อน รีสอร์ท,530,ท่าใหม่,จันทบุรี,12.721348,101.971529
ห้องโถง ลิฟวิ่งรูม,560,เมือง,ปราจีนบุรี,14.0389504,101.3672802
ห้องพัก ปลายนา,560,หนองปรือ,กาญจนบุรี,14.602927,99.446572
ห้องพักคุณนุช นวพร ตึก ที9,560,ปากเกร็ด,นนทบุรี,13.912834,100.553479
หัวไร่ปลายนา รีสอร์ท,560,ดอนเจดีย์,สุพรรณบุรี,14.63345,99.894501
หินซ้อน ฮิลล์ไซด์ รีสอร์ท,560,พนมสารคาม,ฉะเชิงเทรา,13.769505,101.511982
แหลมฉบัง รีสอร์ท,560,ศรีราชา,ชลบุรี,13.095407,100.94902
อนันตกิจ อพาร์ทเมนท์,450,เมือง,ฉะเชิงเทรา,13.709616,101.091341
อพาร์ทเมนต์บ้านคลอง16,560,บางน้ำเปรี้ยว,ฉะเชิงเทรา,13.966502,100.96459
อมตะ,550,เมือง,สมุทรสงคราม,13.419154,100.007655
อยู่รัก รีสอร์ท,560,เมือง,สุพรรณบุรี,14.474368,100.188456
อยู่สมบูรณ์ เพลส อพาร์ทเมนท์,560,บางบ่อ,สมุทรปราการ,13.584455,100.838481
อยู่แสนสุขเพลส,450,พัฒนานิคม,ลพบุรี,14.82632,100.900989
อรรถรส การ์เด้น รีสอร์ท,560,บ้านโป่ง,ราชบุรี,13.837203,99.864826
อรวี รีสอร์ท,530,เมือง,ปราจีนบุรี,14.053263699999999,101.39139809999999
ออร์คิดส์ มหาชัย สมุทรสาคร,530,เมือง,สมุทรสาคร,13.551755,100.261874
อัชชาวดี รีสอร์ท,560,เขาคิชฌกูฏ,จันทบุรี,12.814019,102.121403
อัญมณี รีสอร์ท ตราด,450,เมือง,ตราด,12.27038,102.5098
อัมรา รีสอร์ท,450,โป่งน้ำร้อน,จันทบุรี,12.888779,102.274461
อาร์ ออร์คิด,560,บ้านแพ้ว,สมุทรสาคร,13.591232,100.105481
อาร์ต โฮเทล สนามไชย,530,พระนคร,กรุงเทพมหานคร,13.740767,100.496441
อาร์พี แมนชั่น ราชบุรี,500,เมือง,ราชบุรี,13.507712,99.810182
อารมณ์ดี รีสอร์ท แอนด์ สปา,460,พระพุทธบาท,สระบุรี,14.711665,100.822012
อาร์เอ็ม แมนชั่น,560,ประเวศ,กรุงเทพมหานคร,13.690338,100.640058
อารีน่า รีสอร์ท,560,เมือง,ระยอง,12.6759863,101.3083334
อิงกาญจน์ วิลล่ารีสอร์ท,560,ท่ามะกา,กาญจนบุรี,13.96353,99.733941
อิงเขา รีสอร์ท จันทบุรี,530,แหลมสิงห์,จันทบุรี,12.521836,102.172657
อิงธาร รีสอร์ท ระยอง,530,เขาชะเมา,ระยอง,12.9864087,101.6770691
อิงแลนด์ รีสอร์ท,560,ศรีราชา,ชลบุรี,13.113327,100.917207
อิงอุ่น เรสซิเดนซ์,560,เมือง,ปราจีนบุรี,14.0539512,101.3660652
อินไซด์ รีสอร์ท,550,สนามชัยเขต,ฉะเชิงเทรา,13.65737,101.43386
อินบ็อกซ์ โฮม รีสอร์ท,560,แกลง,ระยอง,12.8044531,101.6646375
อิสระ รีสอร์ท,560,หนองแซง,สระบุรี,14.516708,100.840624
อีส แอม อาร์ สเตย์ บูติก,560,เมือง,ราชบุรี,13.520916,99.817812
อีส โฮสเทล,400,จตุจักร,กรุงเทพมหานคร,13.809983,100.558632
อุ่นรัก แปดริ้ว,560,บ้านโพธิ์,ฉะเชิงเทรา,13.595983,101.007727
อุ่นรัก รีสอร์ท ปลวกแดง,560,ปลวกแดง,ระยอง,12.9917899,101.1427482
อุ่นเรือน รีสอร์ท จอมบึง,560,จอมบึง,ราชบุรี,13.625536,99.61516
เอ เฮ้าส์ รีสอร์ท 2,560,บ้านบึง,ชลบุรี,13.206134,101.253349
เอ9 โฮเทล แอนด์ อพาร์ทเม้นท์,560,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.349629,100.602613
เอก เรสซิเดนซ์ บ้านฉาง ซิตี้,560,บ้านฉาง,ระยอง,12.7246,101.0547
เอกชัย แมนชั่น,540,เมือง,สมุทรสงคราม,13.41425,100.004401
เอเพลส สุวรรณภูมิ กิ่งแก้ว 37,560,บางพลี,สมุทรปราการ,13.694392,100.727605
เอ็ม ดี อาร์,470,เมือง,ลพบุรี,14.786173,100.679765
เอ็ม แอนด์ เอ็ม รีสอร์ท,560,นิคมพัฒนา,ระยอง,12.8574024,101.1668493
เอ็ม เฮ้าส์,560,เมือง,สมุทรปราการ,13.608407,100.597579
เอ็ม.เอ็น. ซิตี้แมนชั่น,440,คลองหลวง,ปทุมธานี,14.03765,100.736412
เอ็มพี รีสอร์ท คลอง 5,560,คลองหลวง,ปทุมธานี,14.1208,100.719845
เอส แอล อพาร์ทเม้นท์ สระบุรี,560,เมือง.,สระบุรี,14.526417,100.922524
เอส.ไดมอนด์ อพาร์ทเมนท์,540,เมือง,เพชรบุรี,13.072996,99.968857
เอส.ที.แมนชั่น,560,ดอนตูม,นครปฐม,13.964992,100.085371
เอส.ที.อพาร์ทเม้นท์,560,เมือง,สมุทรสาคร,13.5751326,100.30214559999999
เอส.พี.ดี. อพาร์ทเม้นท์,560,เมือง,สมุทรสาคร,13.510419,100.152287
เอส.เอ็น.พี. แมนชั่น,530,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.353278,100.592161
เอสเจ แมนชั่น สมุทรสาคร,530,เมือง,สมุทรสาคร,13.492543,100.122694
เอสซี รีสอร์ท ฉะเชิงเทรา,560,พนมสารคาม,ฉะเชิงเทรา,13.754851,101.350546
เอสซี ใสวัฒนาเพลส,530,เมือง,กาญจนบุรี,14.033039,99.529399
เอสพี เพลส กาญจนบุรี,560,เมือง,กาญจนบุรี,14.021909,99.539545
เอสพี เพลส ฉะเชิงเทรา,460,เมือง,ฉะเชิงเทรา,13.705129,101.091002
เอสพี รีสอร์ท แกลง,560,แกลง,ระยอง,12.7663204,101.6625891
เอสพี เฮ้าส์ ชลบุรี,560,ศรีราชา,ชลบุรี,13.087475,100.922246
เอสเอส เกสต์เฮาส์ บางพลี,560,บางพลี,สมุทรปราการ,13.620974,100.721527
เอื้อนฤมลเฮาส์,560,เมือง,สมุทรสาคร,13.552219,100.273468
แอทยายา อพาร์ทเม้นต์,560,,กรุงเทพมหานคร,13.7120898,100.4012741
แอล โอ เอม รีสอร์ท ระยอง,560,เมือง,ระยอง,12.6333503,101.48654599999999
โอโซน รีสอร์ท โฮมสเตย์,480,วัดสิงห์,ชัยนาท,15.218606,100.061875
โอม สวีท โฮม เพลส,530,เมือง,ลพบุรี,14.79059,100.628699
ไอซ์ อินน์ รีสอร์ท,560,วังน้อย,พระนครศรีอยุธยา,14.242934,100.744504
ไอเซน บัดเจท โฮเทล แอนด์ เรสซิเดนซ์,460,เมือง,ระยอง,12.679838,101.264107
ไอเซน พลัส,500,เมือง,ระยอง,12.685217,101.258549
ไอยรา เรสซิเดนซ์,560,เมือง,ตราด,12.251983,102.506689
ไอยรา เฮาส์,560,เมือง,พระนครศรีอยุธยา,14.351482,100.574527
ไอเวอรี่ อพาร์ทเมนท์,560,เมือง,กาญจนบุรี,14.061573,99.496563
ไออุ่น รีสอร์ท มาบตาพุด,560,เมือง,ระยอง,12.7204097,101.1855315
ฮักจันท์ โฮมสเตย์,560,เมือง,จันทบุรี,12.635095,102.10189
ฮาร์โมนี่ เรสซิเด้นท์,560,อู่ทอง,สุพรรณบุรี,14.379763,99.911152
แฮปปี้ รีสอร์ท เพชรบุรี,560,เมือง,เพชรบุรี,13.116026,99.911926
แฮปปี้ อินน์ รีสอร์ท ศรีราชา,480,ศรีราชา,ชลบุรี,13.101902,101.023248
แฮปปี้ไนท์ โพธาราม,560,โพธาราม,ราชบุรี,13.700296,99.85948
แฮปปี้แลนด์ แมนชั่น,550,,กรุงเทพมหานคร,13.782128,100.64377999999999
โฮมนิว จันทบุรี,520,เมือง,จันทบุรี,12.615701,102.119846
โฮมเบส โฮสเทล,470,บางรัก,กรุงเทพมหานคร,13.722612,100.524255
โฮมเพลส ลพบุรี,560,เมือง,ลพบุรี,14.790742,100.593949
ไฮ แมนชั่น,520,หนองแค,สระบุรี,14.409458,100.890153
